Bracket,Year,burden_category,County,value
50.0 percent or more,2023,burdened,Polk County,22893
Not computed,2023,not_computed,Polk County,6097
Total,2024,,Polk County,87285
Less than 10.0 percent,2024,not_burdened,Polk County,2278
10.0 to 14.9 percent,2024,not_burdened,Polk County,6228
15.0 to 19.9 percent,2024,not_burdened,Polk County,8929
20.0 to 24.9 percent,2024,not_burdened,Polk County,11520
25.0 to 29.9 percent,2024,not_burdened,Polk County,8580
30.0 to 34.9 percent,2024,burdened,Polk County,8240
35.0 to 39.9 percent,2024,burdened,Polk County,7897
40.0 to 49.9 percent,2024,burdened,Polk County,7323
50.0 percent or more,2024,burdened,Polk County,22667
Not computed,2024,not_computed,Polk County,3623
